mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	3	1	Bb.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	1.0	1/2	1/2	3/4	3	1	V6	Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	3	3	1.0	0	0	3/4	3	1	vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	4	4	1.0	1/4	1/4	3/4	3	1	ii65	Bb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	2	5	5	1.0	1/2	1/2	3/4	3	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
3	3	6	6	1.0	0	0	3/4	3	1	I|IAC}{	Bb	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	3	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
3	3	8	8	1.0	1/2	1/2	3/4	3	1	V6/V	Bb	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
4	4	9	9	1.0	0	0	3/4	3	1	vi/V	Bb	I		vi/V	vi				V			m	0	0	4, 1, 5		4	4
4	4	10	10	1.0	1/4	1/4	3/4	3	1	ii65/V	Bb	I		ii65/V	ii		65		V			mm7	0	0	0, 4, 1, 3		3	0
4	4	11	11	1.0	1/2	1/2	3/4	3	1	V/V	Bb	I		V/V	V				V			M	0	0	2, 6, 3		2	2
5	5	12	12	2.0	0	0	3/4	3	1	I/V|IAC}{	Bb	I		I/V	I				V	IAC	}{	M	0	0	1, 5, 2		1	1
5	5	14	14	1.0	1/2	1/2	3/4	3	1	iii6	Bb	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
6	6	15	15	1.0	0	0	3/4	3	1	vi2	Bb	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
6	6	16	16	2.0	1/4	1/4	3/4	3	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	18	18	1.0	0	0	3/4	3	1	v2	Bb	I		v2	v		2					mm7	0	0	-1, 1, -2, 2		1	-1
7	7	19	19	2.0	1/4	1/4	3/4	3	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	21	21	1.0	0	0	3/4	3	1	IV(9)	Bb	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
8	8	22	22	1.0	1/4	1/4	3/4	3	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	23	23	1.0	1/2	1/2	3/4	3	1	ii	Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
9	9	24	24	2.0	0	0	3/4	3	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	26	26	1.0	1/2	1/2	3/4	3	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	27	27	1.0	0	0	3/4	3	1	ii65	Bb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
10	10	28	28	1.0	1/4	1/4	3/4	3	1	V(4)	Bb	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
10	10	29	29	1.0	1/2	1/2	3/4	3	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
11	11	30	30	3.0	0	0	3/4	3	1	I|IAC}{	Bb	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
12	12	33	33	3.0	0	0	3/4	3	1	V6	Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
