mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		F.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	4	1		ii65		F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	2	1/4	1/4	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
3	3	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	0	0	3/4	4	1		V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
4	4	1/4	1/4	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	4	1		vi(9)		F	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
5	5	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
5	5	1/2	1/2	3/4	4	1		V7/V		F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
6	6	0	0	3/4	4	1		I(9)/V		F	I		I(9)/V	I			9	V			M	0	0	1, 5, 2	3	1	1
6	6	1/4	1/4	3/4	4	1		I/V		F	I		I/V	I				V			M	0	0	1, 5, 2		1	1
6	6	1/2	1/2	3/4	4	1		I6/V		F	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
7	7	0	0	3/4	4	1		ii65/V		F	I		ii65/V	ii		65		V			mm7	0	0	0, 4, 1, 3		3	0
7	7	1/4	1/4	3/4	4	1		V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
8	8	0	0	3/4	4	1		I/V|PAC}		F	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
9	9	0	0	3/4	4	1		I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
10	10	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	0	0	3/4	4	1		V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
12	12	0	0	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
13	13	0	0	3/4	4	1		V/vi		F	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
14	14	0	0	3/4	4	1		vi.i		F	vi		i	i							m	0	1	0, -3, 1		0	0
14	14	1/2	1/2	3/4	4	1		i6		F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
15	15	0	0	3/4	4	1		ii65		F	vi		ii65	ii		65					mm7	0	1	-1, 3, 0, 2		2	-1
15	15	1/4	1/4	3/4	4	1		V		F	vi		V	V							M	0	1	1, 5, 2		1	1
16	16	0	0	3/4	4	1		i|PAC}		F	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
17	17	0	0	3/4	4	1		I.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
18	18	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	0	0	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	0	0	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
21	21	0	0	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
22	22	1/4	1/4	3/4	4	1		viio6	V43	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
22	22	1/2	1/2	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
23	23	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	23	1/4	1/4	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
24	24	0	0	3/4	4	1		I|PAC}		F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
25	25	0	0	3/4	4	1		{		F	I									{		0	0				
26	26	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	27	0	0	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
28	28	0	0	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
29	29	0	0	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	30	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	30	1/4	1/4	3/4	4	1		viio6	V43	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
30	30	1/2	1/2	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
31	31	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
31	31	1/4	1/4	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
32	32	0	0	3/4	4	1		I|PAC}		F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
