mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	35.0	0	0	3/4	4	1	E.I[I{	E	I	I	I	I						{	M	0	0	0, 4, 1		0	0
12	12	35	1.0	1/2	1/2	3/4	4	1	viio	E	I	I	viio	vii	o						o	0	0	5, 2, -1		5	5
13	13	36	2.0	0	0	3/4	4	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
13	13	38	1.0	1/2	1/2	3/4	4	1	viio	E	I	I	viio	vii	o						o	0	0	5, 2, -1		5	5
14	14	39	2.0	0	0	3/4	4	1	I	E	I	I	I	I							M	0	0	0, 4, 1		0	0
14	14	41	1.0	1/2	1/2	3/4	4	1	viio	E	I	I	viio	vii	o						o	0	0	5, 2, -1		5	5
15	15	42	81.0	0	0	3/4	4	1	I]	E	I	I	I	I							M	0	0	0, 4, 1		0	0
41	41	245/2	0.0	5/8	5/8	6/8	3	1	}	E	I									}		0	0				
