mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	6/8	3	1	g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	1.0	3/8	3/8	6/8	3	1	ii%2	ii2	g	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
1	1	5/2	5/2	0.5	5/8	5/8	6/8	3	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	3	3	1.0	0	0	6/8	3	1	VIM7		g	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
2	2	4	4	0.5	1/4	1/4	6/8	3	1	ii%65		g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	2	9/2	9/2	0.5	3/8	3/8	6/8	3	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
2	2	5	5	1.0	1/2	1/2	6/8	3	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	6	6	1.5	0	0	6/8	3	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
3	3	15/2	15/2	1.0	3/8	3/8	6/8	3	1	v.i6		g	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	17/2	17/2	0.5	5/8	5/8	6/8	3	1	i		g	v		i	i							m	1	1	0, -3, 1		0	0
4	4	9	9	1.0	0	0	6/8	3	1	V(4)		g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
4	4	10	10	0.5	1/4	1/4	6/8	3	1	V		g	v		V	V							M	1	1	1, 5, 2		1	1
4	4	21/2	21/2	1.0	3/8	3/8	6/8	3	1	VI		g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	23/2	23/2	0.5	5/8	5/8	6/8	3	1	i		g	v		i	i							m	1	1	0, -3, 1		0	0
5	5	12	12	0.5	0	0	6/8	3	1	V(4)		g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
5	5	25/2	25/2	1.0	1/8	1/8	6/8	3	1	V		g	v		V	V							M	1	1	1, 5, 2		1	1
5	5	27/2	27/2	1.0	3/8	3/8	6/8	3	1	i		g	v		i	i							m	1	1	0, -3, 1		0	0
