mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/8	3/8	0						firstMeasure	2
2	2	-1	3/8	3/8	0							3
3	3	-1	3/8	3/8	0							4
4	4	-1	3/8	3/8	0							5
5	5	-1	3/8	3/8	0							6
6	6	-1	3/8	3/8	0							7
7	7	-1	3/8	3/8	0							8
8	8	-1	3/8	3/8	0							9
9	9	-1	3/8	3/8	0							10
10	10	-1	3/8	3/8	0							11
11	11	-1	3/8	3/8	0							12
12	12	-1	3/8	3/8	0							13
13	13	-1	3/8	3/8	0							14
14	14	-1	3/8	3/8	0							15
15	15	-1	3/8	3/8	0							16
16	16	-1	3/8	3/8	0							17
17	17	-1	3/8	3/8	0							18
18	18	-1	3/8	3/8	0							19
19	19	-1	3/8	3/8	0							20
20	20	-1	3/8	3/8	0							21
21	21	-1	3/8	3/8	0							22
22	22	-1	3/8	3/8	0							23
23	23	-1	3/8	3/8	0							24
24	24	-1	3/8	3/8	0							25
25	25	-1	3/8	3/8	0							26
26	26	-1	3/8	3/8	0							27
27	27	-1	3/8	3/8	0							28
28	28	-1	3/8	3/8	0							29
29	29	-1	3/8	3/8	0							30
30	30	-1	3/8	3/8	0							31
31	31	-1	3/8	3/8	0							32
32	32	-1	3/8	3/8	0							33
33	33	-1	3/8	3/8	0							34
34	34	-1	3/8	3/8	0							35
35	35	-1	3/8	3/8	0							36
36	36	-1	3/8	3/8	0							37
37	37	-1	3/8	3/8	0							38
38	38	-1	3/8	3/8	0							39
39	39	-1	3/8	3/8	0							40
40	40	-1	3/8	3/8	0							41
41	41	-1	3/8	3/8	0							42
42	42	-1	3/8	3/8	0							43
43	43	-1	3/8	3/8	0							44
44	44	-1	3/8	3/8	0							45
45	45	-1	3/8	3/8	0							46
46	46	-1	3/8	3/8	0							47
47	47	-1	3/8	3/8	0							48
48	48	-1	3/8	3/8	0							49
49	49	-1	3/8	3/8	0							50
50	50	-1	3/8	3/8	0							51
51	51	-1	3/8	3/8	0							52
52	52	-1	3/8	3/8	0							53
53	53	-1	3/8	3/8	0							54
54	54	-1	3/8	3/8	0							55
55	55	-1	3/8	3/8	0							56
56	56	-1	3/8	3/8	0							57
57	57	-1	3/8	3/8	0							58
58	58	-1	3/8	3/8	0							59
59	59	-1	3/8	3/8	0							60
60	60	-1	3/8	3/8	0							61
61	61	-1	3/8	3/8	0							62
62	62	-1	3/8	3/8	0							63
63	63	-1	3/8	3/8	0							64
64	64	-1	3/8	3/8	0							65
65	65	-1	3/8	3/8	0							66
66	66	-1	3/8	3/8	0							67
67	67	-1	3/8	3/8	0							68
68	68	-1	3/8	3/8	0							69
69	69	-1	3/8	3/8	0							70
70	70	-1	3/8	3/8	0							71
71	71	-1	3/8	3/8	0							72
72	72	-1	3/8	3/8	0							73
73	73	-1	3/8	3/8	0							74
74	74	-1	3/8	3/8	0							75
75	75	-1	3/8	3/8	0							76
76	76	-1	3/8	3/8	0							77
77	77	-1	3/8	3/8	0							78
78	78	-1	3/8	3/8	0							79
79	79	-1	3/8	3/8	0							80
80	80	-1	3/8	3/8	0							81
81	81	-1	3/8	3/8	0							82
82	82	-1	3/8	3/8	0							83
83	83	-1	3/8	3/8	0							84
84	84	-1	3/8	3/8	0						end	1, -1
