mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	2/2	1	0	firstMeasure					2
2	2	1	2/2	1	0						3
3	3	1	2/2	1	0						4
4	4	1	2/2	1	0						5
5	5	1	2/2	1	0						6
6	6	1	2/2	1	0						7
7	7	1	2/2	1	0						8
8	8	1	2/2	1	0						9
9	9	1	2/2	1	0						10
10	10	1	2/2	1	0						11
11	11	1	2/2	1	0						12
12	12	1	2/2	1	0						13
13	13	1	2/2	1	0						14
14	14	1	2/2	1	0						15
15	15	1	2/2	1	0						16
16	16	1	2/2	1	0						17
17	17	1	2/2	1	0						18
18	18	1	2/2	1	0						19
19	19	1	2/2	1	0						20
20	20	1	2/2	1	0						21
21	21	1	2/2	1	0						22
22	22	1	2/2	1	0						23
23	23	1	2/2	1	0						24
24	24	1	2/2	1	0						25
25	25	1	2/2	1	0						26
26	26	1	2/2	1	0						27
27	27	1	2/2	1	0						28
28	28	1	2/2	1	0						29
29	29	1	2/2	1	0						30
30	30	1	2/2	1	0						31
31	31	1	2/2	1	0						32
32	32	1	2/2	1	0						33
33	33	1	2/2	1	0						34
34	34	1	2/2	1	0						35
35	35	1	2/2	1	0	endRepeat					1, -1
