mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	0	12/8	3/2	0	firstMeasure					2
2	2	0	12/8	3/2	0						3
3	3	0	12/8	3/2	0						4
4	4	0	12/8	3/2	0						5
5	5	0	12/8	3/2	0						6
6	6	0	12/8	3/2	0						7
7	7	0	12/8	3/2	0						8
8	8	0	12/8	3/2	0						9
9	9	0	12/8	3/2	0						10
10	10	0	12/8	3/2	0						11
11	11	0	12/8	3/2	0						12
12	12	0	12/8	3/2	0						13
13	13	0	12/8	3/2	0						14
14	14	0	12/8	3/2	0						15
15	15	0	12/8	3/2	0						16
16	16	0	12/8	3/2	0						17
17	17	0	12/8	3/2	0						18
18	18	0	12/8	3/2	0						19
19	19	0	12/8	3/2	0						20
20	20	0	12/8	3/2	0						21
21	21	0	12/8	3/2	0						22
22	22	0	12/8	3/2	0						23
23	23	0	12/8	3/2	0						24
24	24	0	12/8	3/2	0						25
25	25	0	12/8	3/2	0						26
26	26	0	12/8	3/2	0						27
27	27	0	12/8	3/2	0						28
28	28	0	12/8	3/2	0						29
29	29	0	12/8	3/2	0						30
30	30	0	12/8	3/2	0						31
31	31	0	12/8	3/2	0						32
32	32	0	12/8	3/2	0						33
33	33	0	12/8	3/2	0	lastMeasure		end			-1
