mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3/4	1/8	5/8			1			firstMeasure	2
2	1	0	3/4	3/4	0							3
3	2	0	3/4	3/4	0							4
4	3	0	3/4	3/4	0							5
5	4	0	3/4	3/4	0							6
6	5	0	3/4	3/4	0							7
7	6	0	3/4	3/4	0							8
8	7	0	3/4	3/4	0							9
9	8	0	3/4	3/4	0							10
10	9	0	3/4	3/4	0							11
11	10	0	3/4	3/4	0							12
12	11	0	3/4	3/4	0							13
13	12	0	3/4	3/4	0							14
14	13	0	3/4	3/4	0							15
15	14	0	3/4	3/4	0							16
16	15	0	3/4	3/4	0							17
17	16	0	3/4	3/4	0							18
18	17	0	3/4	5/8	0					line	end	1, 19
19	17	0	3/4	1/8	5/8			1	start-repeat		start	20
20	18	0	3/4	3/4	0							21
21	19	0	3/4	3/4	0							22
22	20	0	3/4	3/4	0							23
23	21	0	3/4	3/4	0							24
24	22	0	3/4	3/4	0							25
25	23	0	3/4	3/4	0							26
26	24	0	3/4	3/4	0							27
27	25	0	3/4	3/4	0							28
28	26	0	3/4	3/4	0							29
29	27	0	3/4	3/4	0							30
30	28	0	3/4	3/4	0							31
31	29	0	3/4	3/4	0							32
32	30	0	3/4	3/4	0							33
33	31	0	3/4	3/4	0							34
34	32	0	3/4	3/4	0							35
35	33	0	3/4	3/4	0							36
36	34	0	3/4	3/4	0							37
37	35	0	3/4	3/4	0							38
38	36	0	3/4	3/4	0							39
39	37	0	3/4	3/4	0							40
40	38	0	3/4	3/4	0							41
41	39	0	3/4	3/4	0							42
42	40	0	3/4	3/4	0							43
43	41	0	3/4	3/4	0							44
44	42	0	3/4	3/4	0							45
45	43	0	3/4	3/4	0							46
46	44	0	3/4	3/4	0							47
47	45	0	3/4	3/4	0							48
48	46	0	3/4	3/4	0							49
49	47	0	3/4	3/4	0						end	19, -1
