mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	4/4	3	1	1/8	1/8	1		0	60	C4	4	4
1	1	0	0	0.5	0	0	4/4	4	1	1/8	1/8	1		0	60	C4	4	12
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		0	48	C3	3	5
1	1	1/2	1/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		0	48	C3	3	13
1	1	1	1	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		-3	51	Eb3	3	6
1	1	1	1	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		-3	51	Eb3	3	14
1	1	1	1	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		0	72	C5	5	2
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		0	48	C3	3	7
1	1	3/2	3/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		0	48	C3	3	15
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		-1	53	F3	3	8
1	1	2	2	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		-1	53	F3	3	16
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	1
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		2	50	D3	3	9
1	1	5/2	5/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	17
1	1	3	3	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	10
1	1	3	3	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		1	55	G3	3	18
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	71	B4	4	3
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		1	43	G2	2	11
1	1	7/2	7/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		1	43	G2	2	19
2	2	4	4	0.5	0	0	4/4	3	1	1/8	1/8	1		0	48	C3	3	25
2	2	4	4	0.5	0	0	4/4	4	1	1/8	1/8	1		0	48	C3	3	33
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	72	C5	5	22
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		-3	75	Eb5	5	20
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		-3	51	Eb3	3	26
2	2	9/2	9/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		-3	51	Eb3	3	34
2	2	5	5	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	27
2	2	5	5	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		1	55	G3	3	35
2	2	5	5	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		-3	75	Eb5	5	23
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		-3	51	Eb3	3	28
2	2	11/2	11/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		-3	51	Eb3	3	36
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		-4	56	Ab3	3	29
2	2	6	6	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		-4	56	Ab3	3	37
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	77	F5	5	21
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		-1	53	F3	3	30
2	2	13/2	13/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		-1	53	F3	3	38
2	2	7	7	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		-2	58	Bb3	3	31
2	2	7	7	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		-2	58	Bb3	3	39
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	74	D5	5	24
2	2	15/2	15/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		-2	46	Bb2	2	32
2	2	15/2	15/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		-2	46	Bb2	2	40
3	3	8	8	0.5	0	0	4/4	3	1	1/8	1/8	1		-3	51	Eb3	3	46
3	3	8	8	0.5	0	0	4/4	4	1	1/8	1/8	1		-3	51	Eb3	3	54
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		-3	75	Eb5	5	43
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		1	79	G5	5	41
3	3	17/2	17/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		1	55	G3	3	47
3	3	17/2	17/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		1	55	G3	3	55
3	3	9	9	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		-2	58	Bb3	3	48
3	3	9	9	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		-2	58	Bb3	3	56
3	3	9	9	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		1	79	G5	5	44
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		1	55	G3	3	49
3	3	19/2	19/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		1	55	G3	3	57
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		0	60	C4	4	50
3	3	10	10	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		0	60	C4	4	58
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	81	A5	5	42
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	51
