mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	a.i{						a	i		i	i						{	m	1	1	3, 0, 4		3.0	3.0	0	8	0.0	0.0	1.75	0.0
1	1	1/2	1/2	4/4	3	1	V6						a	i		V6	V		6					M	1	1	8, 5, 4		4.0	8.0	0	4	0.0	0.0	1.5	0.0
1	1	15/16	15/16	4/4	3	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.25	0.0
2	2	0	0	4/4	3	1	ii7/III					iv7	a	i		ii7/III	ii		7		III			mm7	1	1	2, -1, 3, 0		2.0	2.0	0	6	0.0	0.0	1.0	0.0
2	2	1/4	1/4	4/4	3	1	V7/III						a	i		V7/III	V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	2	4	0.3333333333333333	0.125	0.875	0.125
2	2	1/2	1/2	4/4	3	1	I/III|IAC}	0.2	3.5		/		a	i		I/III	I				III	IAC	}	M	1	1	0, 4, 1		0.0	0.0	0	13	0.0	0.0	2.75	0.0
3	3	1/4	1/4	4/4	3	1	V65/iv						a	i		V65/iv	V		65		iv			Mm7	1	1	7, 4, 1, 3		3.0	7.0	0	5	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	3	1	iv						a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
3	3	3/4	3/4	4/4	3	1	V						a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	4/4	3	1	iv6(2)						a	i		iv6(2)	iv		6	2				m	1	1	-1, 3, 4		2.0	-1.0	0	4	0.0	0.0	1.75	0.0
4	4	1/4	1/4	4/4	3	1	iv6						a	i		iv6	iv		6					m	1	1	-1, 3, 2		2.0	-1.0	0	1	0.0	0.0	0.25	0.0
4	4	1/2	1/2	4/4	3	1	V|HC}						a	i		V	V					HC	}	M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	2.0	0.0
5	5	0	0	4/4	3	1	III{						a	i		III	III						{	M	1	1	0, 4, 1		0.0	0.0	0	8	0.0	0.0	1.75	0.0
5	5	1/2	1/2	4/4	3	1	#viio6						a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8.0	5.0	0	6	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	3	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
