mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0				𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0				
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	2									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	3									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	4									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	5									
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	6									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	7									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	8									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	9									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	10									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	11									
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	12									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	13									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	14									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	15									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	16									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	17									
1	1	0	0	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	18									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	19									
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	4	1	0									1/8	6		
1	1	2	2	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	20									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	21									
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	4	1	0									1/8	h		
1	1	3	3	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	22									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	23									
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	24									
2	2	11/2	11/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	25									
2	2	13/2	13/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	26									
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	27									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	28									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	29									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	30									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	31									
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	32									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	33									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	34									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	35									
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	36									
