mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	0					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	1					
1	1	0	0	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	2					
1	1	0	0	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	3					
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	4					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	5					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	6					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	7					
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	8					
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	9					
2	2	3	3	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	10					
2	2	3	3	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	11					
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	12					
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	13					
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	14					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	15					
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	16					
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	17					
3	3	6	6	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	18					
3	3	6	6	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	19					
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	20					
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	21					
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	22					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	23					
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	24					
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	25					
