mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0				Adagio								
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥𝅮=63	32.0	𝅘𝅥𝅮	63.0	0.0			
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	0									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	1									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	2									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	3									
1	1	0	0	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	4									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	5									
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	6									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	7									
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6	
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	8									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	9									
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	6	
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	10									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	11									
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	12									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	13									
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	14									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	15									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	16									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	17									
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	18									
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	19									
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	20									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	21									
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	22									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	23									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	24									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	25									
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	26									
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	27									
2	2	4	4	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	7	
2	2	4	4	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	28									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	29									
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	30									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	31									
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6	4
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	32									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	33									
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	5	#
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	34									
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	35									
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	36									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	37									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	38									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	39									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	40									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	41									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	42									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	43									
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	44									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	45									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	46									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	47									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	48									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	49									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	50									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	51									
3	3	8	8	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	6	5
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	52									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	53									
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	4
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	54									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	55									
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6	5
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	56									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	57									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	58									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	59									
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	60									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	61									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	62									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	63									
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	64									
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	65									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	66									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	67									
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	68									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	69									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	70									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	71									
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	72									
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	73									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	74									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	75									
4	4	12	12	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	4+	2
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	76									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	77									
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	78									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	79									
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	5+	4
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	80									
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	81									
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	#	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	82									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	83									
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	84									
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	85									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	86									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	87									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	88									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	89									
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	90									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	91									
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	92									
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	93									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	94									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	95									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	96									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	97									
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	98									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	99									
5	5	16	16	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	6	5
5	5	16	16	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	100									
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	101									
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	4
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	102									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	103									
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	5	4
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	104									
