mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	0			
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	1			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	2			
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	3			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	4			
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	5			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	6			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	7			
1	1	1	1	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/8	6	
1	1	1	1	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	8			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	9			
1	1	2	2	0.5	1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	10			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	11			
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	12			
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	13			
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	14			
2	2	3	3	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	15			
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	16			
2	2	4	4	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	17			
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	18			
2	2	5	5	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	19			
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	20			
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0				1/8	6	5
2	2	3	3	0.5	0	0	Chord	3/4	4	1	1/8	1/8	1	21			
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	22			
2	2	4	4	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	23			
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	24			
2	2	5	5	0.5	1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	25			
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	26			
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	27			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	28			
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	29			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	30			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31			
3	3	6	6	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	32			
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	33			
3	3	7	7	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	34			
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	35			
3	3	8	8	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	36			
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	37			
3	3	6	6	0.5	0	0	Chord	3/4	4	1	1/8	1/8	1	38			
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	39			
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/8	6	
3	3	7	7	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	40			
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	41			
3	3	8	8	0.5	1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	42			
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	43			
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	44			
