mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	0					
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	2					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	3					
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	4					
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	5					
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	6					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	7					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	8					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	9					
1	1	0	0	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	10					
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
1	1	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	11					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/8	7			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	12					
1	1	5/2	5/2	0.0	5/8	5/8	FiguredBass	4/4	4	1	0				1/8	b6			
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/8	b7			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	13					
1	1	7/2	7/2	0.0	7/8	7/8	FiguredBass	4/4	4	1	0				1/8	6			
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	14					
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	15					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	16					
2	2	6	6	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	17					0
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	18					
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	19					1
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	20					
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	21					
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	22					
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	23					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	24					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	25					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	26					
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0				1/8	7			
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	27					
2	2	9/2	9/2	0.0	1/8	1/8	FiguredBass	4/4	4	1	0				1/8	6			
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/8	7			
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	28					
2	2	11/2	11/2	0.0	3/8	3/8	FiguredBass	4/4	4	1	0				1/8	6			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/4	6	5		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	29					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/8	5	4		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	30					
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	4	1	0				1/8	3			
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	31					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	32					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	33					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	34					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	35					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	36					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	37					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	38					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	39					
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	40					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	41					
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	42					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	43					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	44					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	45					
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	46					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	4	1	0				1/4	6			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	47					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	4	1	0				1/8	7			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	48					
3	3	21/2	21/2	0.0	5/8	5/8	FiguredBass	4/4	4	1	0				1/8	b6			
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	4	1	0				1/8	b7			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	49					
3	3	23/2	23/2	0.0	7/8	7/8	FiguredBass	4/4	4	1	0				1/8	6			
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	50					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	51					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	52					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	53					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	54					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	55					
