mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur	Trill:downprall
1	1	0	0	0.0		0	0	Tempo	12/8	1	1	0					𝅘𝅥. =76	114.0	𝅘𝅥. 	76.0	0.0					
1	1	0	0	0.0		0	0	Tempo	12/8	1	1	0					GigaAllegro	144.0			1.0					
1	1	5/2	5/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	0											
1	1	5/2	5/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	1											
2	1	3	3	0.5		0	3/4	Chord	12/8	1	1	1/8	1/8	1	2										0	
2	1	7/2	7/2	0.5		1/8	7/8	Chord	12/8	1	1	1/8	1/8	1	3										0	
2	1	4	4	0.5		1/4	1	Chord	12/8	1	1	1/8	1/8	1	4											
2	1	9/2	9/2	1.0		3/8	9/8	Chord	12/8	1	1	1/4	1/4	1	5											
2	1	11/2	11/2	0.5		5/8	11/8	Chord	12/8	1	1	1/8	1/8	1	6											
2	1	3	3	0.5		0	3/4	Chord	12/8	2	1	1/8	1/8	1	7										1	
2	1	7/2	7/2	0.5		1/8	7/8	Chord	12/8	2	1	1/8	1/8	1	8										1	
2	1	4	4	0.5		1/4	1	Chord	12/8	2	1	1/8	1/8	1	9											
2	1	9/2	9/2	1.0		3/8	9/8	Chord	12/8	2	1	1/4	1/4	1	10											
2	1	11/2	11/2	0.5		5/8	11/8	Chord	12/8	2	1	1/8	1/8	1	11											
2	1	3	3	1.5		0	3/4	Chord	12/8	3	1	3/8	1/4	3/2	12											
2	1	9/2	9/2	0.0		3/8	9/8	FiguredBass	12/8	3	1	0										1/4	6			
2	1	9/2	9/2	1.0		3/8	9/8	Chord	12/8	3	1	1/4	1/4	1	13											
2	1	11/2	11/2	0.0		5/8	11/8	FiguredBass	12/8	3	1	0										1/8	6			
2	1	11/2	11/2	0.5		5/8	11/8	Chord	12/8	3	1	1/8	1/8	1	14											
3	2	6	6	1.5		0	0	Chord	12/8	1	1	3/8	1/4	3/2	15											
3	2	15/2	15/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4	1/4	1	16											
3	2	17/2	17/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	17											
3	2	9	9	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	18										2	
3	2	19/2	19/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	19										2	
3	2	10	10	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	20											
3	2	21/2	21/2	1.5		9/8	9/8	Chord	12/8	1	1	3/8	1/4	3/2	21											
3	2	6	6	1.5		0	0	Chord	12/8	2	1	3/8	1/4	3/2	22											
3	2	17/2	17/2	0.5		5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	23											
3	2	9	9	1.0		3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	24											
3	2	10	10	0.5		1	1	Chord	12/8	2	1	1/8	1/8	1	25											
3	2	21/2	21/2	1.0		9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	26											
3	2	23/2	23/2	0.5		11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	27											
3	2	6	6	0.0		0	0	FiguredBass	12/8	3	1	0										3/8	#			
